descripcion,sku
Soporte blanco para perfil tipo barandal,PL-200-5252-BC3
Conector blanco a 90 grados para perfil tipo barandal,PL-200-5252-BC4
Conector blanco a desnivel para perfil tipo barandal,PL-200-5252-BC5
Conector blanco a 135 grados para perfil tipo barandal,PL-200-5252-BC6
Conector blanco recto para perfil tipo barandal,PL-200-5252-BC7
Perfil lineal de aluminio tipo barandal negro,PL-200-5252-NG
Conector negro a 90 grados para perfil tipo barandal,PL-200-5252-NG4
Conector negro a desnivel para perfil tipo barandal,PL-200-5252-NG5
Conector negro a 135 grados para perfil tipo barandal,PL-200-5252-NG6
Conector negro recto para perfil tipo barandal,PL-200-5252-NG7
Perfil lineal de aluminio para empotrar en muro,PL-200-6319-AL
JUEGO DE TAPAS FINALES PARA PERFIL MINIATURA,PLMX-250-0607-1
PERFIL PLASTICO MINIATURA,PLMX-250-0607-PC
JUEGO DE TAPAS FINALES PARA PERFIL MINIATURA PARA EMPOTRAR,PLMX-250-0907-1
PERFIL LINEAL MINIATURA PARA EMPOTRAR,PLMX-250-0907-PC
ACCESORIO DE CONEXION RECTO,PLMX-250-1
JUEGO DE TAPAS PARA PERFIL DE ESQUINA MINIATURA COLOR GRIS,PLMX-250-1111-1-G
GRAPA PARA PERFIL DE ESQUINA MINIATURA,PLMX-250-1111-2
PERFIL LINEAL PARA ESQUINA MINIATURA,PLMX-250-1111-PC
JUEGO DE TAPAS FINALES PARA PERFIL FLEXIBLE EN COLOR GRIS,PLMX-250-1806-3
GRAPA PARA PERFIL LINEAL FLEXIBLE,PLMX-250-1806-4
PERFIL LINEAL DE ALUMINIO FLEXIBLE EN COLOR ALUMINIO,PLMX-250-1806-AL
Perfil lineal de aluminio flexible en color aluminio brillante,PLMX-250-1806-ALB
Perfil lineal de aluminio flexible en color blanco,PLMX-250-1806-BN
Perfil lineal de aluminio flexible en color Champagne,PLMX-250-1806-CH
Perfil lineal de aluminio flexible en color madera nogal,PLMX-250-1806-MN
Perfil lineal de aluminio flexible en color madera obscura,PLMX-250-1806-MO
Perfil lineal de aluminio flexible en color negro brillante,PLMX-250-1806-NBR
Perfil lineal de aluminio flexible en color aluminio Negro rugoso,PLMX-250-1806-NR
Juego de tapas para perfil de esquina de aluminio en color blanco,PLMX-250-1818U-1-B
JUEGO DE TAPAS PARA PERFIL DE ESQUINA DE ALUMINIO EN COLOR GRIS,PLMX-250-1818U-1-G
Juego de tapas para perfil de esquina de aluminio en color negro,PLMX-250-1818U-1-N
GRAPA DE SUJECIÓN PARA PERFIL DE ESQUINA DE ALUMINIO,PLMX-250-1818U-2
Perfil lineal para esquina de aluminio en color aluminio,PLMX-250-1818U-AL
Perfil lineal para esquina de aluminio en color aluminio brillante,PLMX-250-1818U-ALB
Perfil lineal para esquina de aluminio en color champagne,PLMX-250-1818U-CH
Perfil lineal para esquina de aluminio en color gris,PLMX-250-1818U-GR
Perfil lineal para esquina de aluminio en color negro brillante,PLMX-250-1818U-NBR
Perfil lineal para esquina de aluminio en color negro,PLMX-250-1818U-NG
Perfil lineal para esquina de aluminio en color negro rugoso,PLMX-250-1818U-NR
PERFIL LINEAL DE ALUMINIO PARA SOBREPONER EN COLOR ALUMINIO,PLMX-250-1913-S-AL
Perfil lineal de aluminio para sobreponer en color brillante natural,PLMX-250-1913-S-ALB
PERFIL LINEAL DE ALUMINIO PARA SOBREPONER EN COLOR BLANCO,PLMX-250-1913-S-BN
PERFIL LINEAL DE ALUMINIO PARA SOBREPONER EN COLOR CHAMPAGNE,PLMX-250-1913-S-CH
PERFIL LINEAL DE ALUMINIOPARA SOBREPONER EN COLOR GRIS,PLMX-250-1913-S-GR
Perfil lineal de aluminio para sobreponer en color madera nogal,PLMX-250-1913-S-MN
Perfil lineal de aluminio para sobreponer en color madera obscura,PLMX-250-1913-S-MO
PERFIL LINEAL DE ALUMINIO PARA SOBREPONER EN COLOR NEGRO BRILLANTE,PLMX-250-1913-S-NBR
PERFIL LINEAL DE ALUMINIO PARA SOBREPONER EN COLOR NEGRO,PLMX-250-1913-S-NG
PERFIL LINEAL DE ALUMINIO PARA SOBREPONER EN COLOR NEGRO RUGOSO,PLMX-250-1913-S-NR
JUEGO DE TAPAS PARA PERFIL PARA CUBIERTA “A” COLOR GRIS,PLMX-250-1A-G
Juego de tapas para perfil para cubierta C en gris,PLMX-250-1C-G
JUEGO DE TAPAS PARA PERFIL PARA CUBIERTA R EN GRIS,PLMX-250-1R-G
ACCESORIO DE CONEXIÓN A 90° HORIZONTAL,PLMX-250-2
JUEGO DE TAPAS PARA PERFIL CIRCULAR DE PLASTICO,PLMX-250-2020C-1
GRAPA PARA PERFIL PLASTICO CIRCULAR,PLMX-250-2020C-2
PERFIL PLASTICO CIRCULAR,PLMX-250-2020C-PP
Grapa para perfil plastico triangular,PLMX-250-2020E-2
JUEGO DE 3 GRAPAS DE SUJECIÓN PARA PERFIL 2212,PLMX-250-2212-2
Juego de tapas fin para perfil de empotrar en gris,PLMX-250-2212-4
"PERFIL LINEAL DE ALUMINIO, PARA EMPOTRAR EN PISO COLOR ALUMINIO",PLMX-250-2212-AL
"""Perfil lineal de aluminio, para empotrar en piso color blanco""",PLMX-250-2212-BN
"""Perfil lineal de aluminio, para empotrar en piso color champagne""",PLMX-250-2212-CH
"""Perfil lineal de aluminio, para empotrar en piso color madera nogal """,PLMX-250-2212-MN
"""Perfil lineal de aluminio, para empotrar en piso color madera obscura""",PLMX-250-2212-MO
"""Perfil lineal de aluminio, para empotrar en piso color negro brillante""",PLMX-250-2212-NBR
"""Perfil lineal de aluminio, para empotrar en piso color negro rugoso""",PLMX-250-2212-NR
JUEGO DE TAPAS PARA PERFIL RECTANGULAR PLASTICO,PLMX-250-2319-1
GRAPA PARA PERFIL PLASTICO RECTANGULAR,PLMX-250-2319-2
PERFIL PLASTICO RECTANGULAR,PLMX-250-2319-PP
Perfil lineal de aluminio para empotrar en color  aluminio,PLMX-250-2613-AL
Perfil lineal de aluminio para empotrar en color madera obscura,PLMX-250-2613-MO
Accesorio de conexión a 90° vertical,PLMX-250-3
Accesorio de conexión a 45° horizontal,PLMX-250-4
Accesorio de conexión a 45° vertical,PLMX-250-5
Accesorio de conexión en Y horizontal,PLMX-250-6
Perfil lineal de aluminio para empotrar en tablaroca en color aluminio,PLMX-250-6113-AL
Perfil lineal de aluminio para empotrar en tablaroca en color blanco,PLMX-250-6113-BN
Accesorio de conexión a 60° en horizontal,PLMX-250-7
Accesorio de unión para perfil multiusos a 60° en vertical,PLMX-250-8452-10
Accesorio de unión para perfil multiusos a 45° en vertical,PLMX-250-8452-11
Accesorio de unión para perfil multiusos a 30° en vertical,PLMX-250-8452-12
JUEGO DE TAPAS PARA PERFIL MULTIUSOS EN COLOR GRIS,PLMX-250-8452-1-G
Juego de tapas para perfil multiusos en color negro,PLMX-250-8452-1-N
ACCESORIO DE UNIÓN PARA PERFIL MULTIUSOS A 180°,PLMX-250-8452-4
Accesorio de unión para perfil multiusos a 90°,PLMX-250-8452-5
Accesorio de unión para perfil multiusos a 60°,PLMX-250-8452-6
Accesorio de unión para perfil multiusos a 45°,PLMX-250-8452-7
Accesorio de unión para perfil multiusos a 30°,PLMX-250-8452-8
ACCESORIO DE UNIÓN PARA PERFIL MULTIUSOS A 90° EN VERTICAL,PLMX-250-8452-9
Perfil lineal multiusos en color aluminio,PLMX-250-8452-AL
Perfil lineal multiusos en color aluminio brillante,PLMX-250-8452-ALB
PERFIL LINEAL MULTIUSOS EN COLOR BLANCO,PLMX-250-8452-BN
CUBIERTA COMPLETA PARA PERFIL MULTIUSOS,PLMX-250-8452-C1
CUBIERTA ANTIDESLUMBRANTE PARA PERFIL MULTIUSOS,PLMX-250-8452-C2
PERFIL LINEAL MULTIUSOS EN COLOR CHAMPAGNE,PLMX-250-8452-CH
PERFIL LINEAL MULTIUSOS EN COLOR GRIS,PLMX-250-8452-GR
PERFIL LINEAL MULTIUSOS EN COLOR MADERA NOGAL,PLMX-250-8452-MN
PERFIL LINEAL MULTIUSOS EN COLOR MADERA OSCURO,PLMX-250-8452-MO
PERFIL LINEAL MULTIUSOS EN COLOR NEGRO BRILLANTE,PLMX-250-8452-NBR
PERFIL LINEAL MULTIUSOS EN COLOR NEGRO,PLMX-250-8452-NG
PERFIL LINEAL MULTIUSOS EN COLOR NEGRO RUGOSO,PLMX-250-8452-NR
CUBIERTA PARA PERFIL LISA,PLMX-250-A-PC
Cubierta para perfil de medio circulo,PLMX-250-C-PC
GRAPA PARA PERFIL MINIATURA,PLMX-250-MINI-3
CUBIERTA PARA PERFIL RECTANGULAR,PLMX-250-R-PC
ACCESORIO PARA SUSPENDER PERFIL,PLMX-ACC-SP
Accesorio para suspender perfil ligero,PLMX-ACC-SP-LG
REFLECTOR DE ALTA POTENCIA BLUE SKY,REFLED-COB-35W-IP66-BS
Regleta tipo tira LED,REGLED-15W-TLED-1800k
Regleta tipo tira LED Blanco Calido,REGLED-15W-TLED-3000k
Regleta tipo tira LED Luz de Dia,REGLED-15W-TLED-6500k
Luminario regleta LED RGBW controlable,REGLED-40W-RGBW
Blister 2pzs Bulbo 1W E-27 blanco calido,S14/LED/1W/127V/2200K
"S14 Pack24pzs led Bulbo de filamento, 1W, cubierta de plastico transparente",S14-LED-E27-1W/BC-24
SENSOR ALIMENTADO POR BATERIAS CON TIRA LED DE UN METRO,SB-TL-CT
Serie Led decorativa para exteriores 24 bombillas base E27,SER-IP44-E27-24W-LEDS14
Sensor movimiento 180 grados infrarrojo multiposición IP44,SM-16F-S
Sensor movimiento 180 grados infrarrojo switch para pared,SM-22-N
